Procédure,Catégorie,DateDePublication,Référence,Objet,AcheteurPublic,LieuDexécution,link,EXTRAIT_DE_PV
AOO ...,Services,26/01/2024,27/2023/BG/PS,"Objet : Réalisation des essais de contrôle de la qualité des travaux de construction d’un complexe résidentiel fermé au profit de Mrs : le Secrétaire Général, le chef de la D.A.I, le pacha de Sefrou et 5 Caïds Chefs ...",Acheteur public : GOUVERNEUR PROVINCIAL DE SEFROU,SEFROU,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771308&orgAcronyme=g3h,
AOO ...,Travaux,26/01/2024,31/2023/BG/PS,"Objet : Travaux d’aménagement et installation de panneaux photovoltaïques,d’un poste transformateur MT/BT et de l’éclairage au niveau du siège de Province de Sefrou et son annexe à la ville de Sefrou. ...",Acheteur public : GOUVERNEUR PROVINCIAL DE SEFROU,SEFROU,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771305&orgAcronyme=g3h,
AOO ...,Services,26/01/2024,TN3123281/2023/ONEEBELEC,Objet : Prestations de Nettoyage des sites administratifs et d’exploitation relevant de la Direction Transport Région Nord – TANGER,Acheteur public : OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,"TANGER-ASSILAH
MDIQ-FNIDEQ
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771304&orgAcronyme=d4q,"Cadre des résultats définitifs d’appel d’offres
Appel d’offres N° : TN3123281
Objet: Prestations de Nettoyage des sites administratifs et d’exploitation relevant de la Direction
Transport Région Nord.
Direction : DTN
Date et heure Date Montant de
indication . ' 4 d'achévement l'offre
Objet du lot d'ouverture des Concurrent retenu
du lot lis des travaux de retenue
P la Commission
Prestations de Nettoyage
des sites administratifs et
Lot , ae 20/12/2023 AINSI MAROC | 657.696,00
. d’exploitation relevant de la : 24/01/2024
unique ae A 10h30min NI DH/HT
Direction Transport Région
Nord.
scl fon | 409 af
A Tanger, AY on Ke.
Le Président de la Commission d’AO:
Date et signature
\ a
_ 4
ARO.
a GM EA OLY
a ? up fot | ae {
Office National de |’Electricité et de l’Eau Potable — Branche Electricité
Direction Transport Région Nord Tanger, Résidence Ennasr n° 5 Angle Rue My Abdelaziz et Avenue Zelouaga Tanger
Tel : (212) 5 39-32-38-87 / 39-32-22-74 / 39-32-39-45 Fax : (212) 5 39 325400
. Extrait du proceés-verbal de la séance d'appel d'offres
ROYAUME DU MAROC ay pu ASL
Office National de I'Electricité et de I'Eau Potable ce pld cSLuall etl 5 cl gS pale gil 2S
Branche Electricité ela ygSll ¢ Und
Appel d’offres n° : TN3123281
Objet : Prestations de Nettoyage des sites administratifs et d’exploitation relevant de la Direction
Transport Région Nord.
Date d'ouverture des plis : 20/12/2023
Lieu d'ouverture des plis : Tanger
Journaux ayant publié l'avis de publicité : Aujourd’ hui le Maroc et AL ITTIHAD.
Sites électroniques de publication de l'avis : Portail marocain des marchés publics et Site WEB ONEE
Liste des concurrents ayant déposé un pli : AINSI MAROC NI, GMCE II, NEGACH et RABAT PROJECT.
Liste des concurrents évincés a l'issue de l’examen des dossiers administratifs, techniques et additifs:
RABAT PROJECT.
Liste des concurrents admissibles sans réserve : AINSI MAROC NI, GMCE II et NEGACH.
Liste des concurrents admissibles avec réserve : néant
Montant des actes d’engagement des concurrents :
Montants des actes d’engagement
AINSI MAROC NI 657.696,00 DH/HT
NEGACH 713.891,88 DH/HT
741.764,40 DH/HT
Vérification des montants des actes d'engagement des concurrents :
Concurrents Montants des actes d’engagement aprés
vérifications et rectifications éventuelles
AINSI! MAROC NI 657.696,00 DH/HT
NEGACH 713.891,88 DH/HT
GMCE Il 741.764,40 DH/HT
Le(s) concurrent(s) écarté(s) : GMCE Il et NEGACH |
Le(s) concurrent(s) retenu(s) : AINSI! MAROC NI.
Concurrent(s) retenu(s) Montants des actes d’engagement
AINS! MAROC NI 657.696,00 DH/HT
Justification du choix de l’attributaire Moins disant conforme.
Date d’achévement des travaux de la Commission d’appel d’offres : 24/01/2024
Fait a Tanger,
Le Président de la Commission d’AO :
Date et signature
Noles }
ZF 24 [Ah “f
a .
“a
Office National de l’Electricité et de l’Eau Potable — Branche Electricité
Direction Transport Région Nord Tanger, Résidence Ennasr n° 5 Angle Rue My Abdelaziz et Avenue Zelouaga Tanger
Tel : (212) 5 39-32-38-87 / 39-32-22-74 / 39-32-39-45 Fax : (212) 5 39 325400
"
AOO ...,Travaux,25/01/2024,102/2023/DR9,Objet : AEP des douars relevant des communes territoriales Tassift et Talambout à partir de la nappe d’OUED LAOU (PROVINCE DE CHEFCHAOUEN) lot n°6 : Equipement,Acheteur public : OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,CHEFCHAOUEN,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771293&orgAcronyme=d4q,"Office National de |’Electricité et de |l'Eau Potable
pil) melee cl y cle gS cb gil 2S EXTRAIT DU PROCES VERBAL
- - DES SEANCES D'EXAMEN DES OFFRES
Direction Regionale du Nord
DR9/C - DIVISION ACHATS DR9
Appel d'offres Ouvert N° : 102/DR9/C/2023 relatif a:
Objet : AEP des douars relevant des communes territoriales Tassift et Talambout a
partir de la nappe d’OUED LAOU (PROVINCE DE CHEFCHAOUEN) lot n°6 : Equipement
- Date et heure d'ouverture des plis : 27/09/2023 10:00 (Ouverture en un seul temps)
- Lieu d'ouverture des plis : au Siége de la Direction Régionale du Nord (DR9) - 6, Rue
Melilla, Castilla - Tanger - Maroc
- Journaux ayant publié l'avis initial de publicité :
JOURNAL DATE DE PUBLICATION
L’Opinion (Frangais) 25/08/2023
Le Matin (Francais) 25/08/2023
Annahar Al Maghribia (Arabe) 25/08/2023
Assahra Al Maghribia (Arabe) 25/08/2023
- Date de publication dans le portail des marchés publics : 25/08/2023
- Liste des concurrents ayant déposé un pli :
CONCURRENT PAYS
- Liste des concurrents écartés : Néant
- Liste des concurrents dont les offres financiéres ont été ouvertes :
CONCURRENT MONTANT AVANT MONTANT APRES
VERIFICATION VERIFICATION
base
Page 1 de 2
Office National de |’Electricité et de |l'Eau Potable
» eS meSLueS! cUll a ol SU ob gl SAI EXTRAIT DU PROCES VERBAL
ars 3 re ya
- . DES SEANCES D'EXAMEN DES OFFRES
Direction Regionale du Nord
DR9/C - DIVISION ACHATS DR9
Appel d'offres Ouvert N° : 102/DR9/C/2023 relatif a:
Objet : AEP des douars relevant des communes territoriales Tassift et Talambout a
partir de la nappe d’OUED LAOU (PROVINCE DE CHEFCHAOUEN) lot n°6 : Equipement
- Concurrent attributaire :
Concurrent attributaire Montant TTC Délai d'exécution
VIMAGI - Offre de base 4.954.800,00 MAD
- Criteére du choix de l'offre la plus avantageuse : Moins-disant
- Date d'achévement des travaux de la commission : 24/01/2024
Pour le président de la commission
Page 2 de 2
"
AOO ...,Fournitures,25/01/2024,28/2023/DGI,"Objet : l’acquisition et la mise en œuvre des solutions d’anonymisation, de supervision et de protection des bases de données ainsi que les prestations d’entretien et de maintenance y afférentes pour le compte de la Direction ...",Acheteur public : DIRECTEUR DES IMPOTS -RABAT,RABAT,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771286&orgAcronyme=g8e,"ny uuene a Ceres Bas eI atte
Ministere de l'Economie et des Finances S ae SJ a a.tILotlg spl enis! a5l5a
— oe ere > $e Cm en OF § FAL @+- AX BOK
Direction Generale des impots , Eres cece cBiignils te are
i RSE OMe £elocs Hate FE D'S. Fi
EXTRAIT DU PROCES-VERBAL DE
L’APPEL D’OFFRES
2. : 28/2023/DGI;
> Objet... f ‘acquisition et la mise en ceuvre des solutions
d’anonymisation, de supervision et de protection des bases
de données ainsi que les prestations d’entretien et de
maintenances y afférentes pour le compte de la Direction
Générale des Impéts, réparti en deux lots :
Lot n°1 : L’acquisition et mise en ceuvre des solutions
d’‘anonymisation, de supervision et de protection des bases
de données pour le compte de la Direction Générale des
Impéts ;
Lot n°2 : l’entretien et la maintenance des solutions
d’anonymisation, de supervision et de protection des
bases de données pour le compte de la Direction
Générale des Impéts.
> Maitre d’ouvrage .........! Direction Générales des Impdéts
> Date d’ouverture des plis : 10/10/2023 4 10h
; ie la salle de réunions de la Direction Générales
> Lieu d’ouverture des plis : des Impéts
> Journaux ayant publié l’avis de publicité :
ee Nn ee ee
11 593
ASSAHRA AL MAGHRIBIA 18/08/2023
LE MATIN 17 802 18/08/2023
> Sites électroniques de publication de I’avis : |
ee ee |
www.marchespublics.gov.ma 18/08/2023
> Liste des concurrents ayant déposé la documentation technique :
- OMNIDATA
- EXPERTISE DATA
> Liste des concurrents ayant soumissionneé :
e Aucun
> Appel d’offres déclaré infructueux pour absence de dossiers administratifs et techniques.
> Date d’achévement des travaux de la commission : le 10/10/2023.
Fait a Rabat, le 10/10/2023
Le Président
Le Chef du Service get
sioné MCCOINid DAMDROU!
"
AOO ...,Fournitures,25/01/2024,SR3122298/2023/ONEEBELEC,Objet : Acquisition de cordes isolantes pour le compte des équipes TST relevant des Directions Régionales Transport.,Acheteur public : OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,CASABLANCA,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771285&orgAcronyme=d4q,"ROYAUME DU MAROC Ay alt Lal
Office National de I'Electricité et de l'Eau Potable Pl edLiall ell 5 ely SU (coe St 2S
Branche Electricité oly eS ¢ Lad
Extrait du procés-verbal de la séance d'appel d'offres
AO N° SR3122298
Objet: Acquisition de cordes isolantes pour le compte des équipes TST relevant des Directions Régionales Transport
Direction: CTR
Date d'ouverture des plis : 01/11/2023
Lieu d’ouverture des plis : Siége ONEE/BE
Journaux ayant publié l'avis de publicité : « Al Akhbar » et « Le Matin du sahara »
Sites électroniques de publication de l'avis : https://www.marchespublics.gov.ma/ site web de ONEE a l’adresse :
http://www.one.ma
Liste des concurrents ayant déposé un pii :
- SOFA (Maroc)
- DARWIN (Maroc)
- CONSELESS (Maroc)
- NET ELEC (Maroc)
Liste des concurrents évincés a l'issue de l’examen des dossiers administratifs et techniques :
- SOFA (Maroc)
- DARWIN (Maroc)
Liste des concurrents admissibles sans réserve :
- SOFA (Maroc)
- DARWIN (Maroc)
- CONSELESS (Maroc)
- NET ELEC (Maroc)
Niontant des actes d’engagement et des offres :
MONTANT TOTAL ECART P/P A
MONTANT LU A MONTANT TOTAL |_,
SOUMISSIONNAIRES L'OUVERTURE DES PLIS CORRIGE EN EN DH/TVAC L'ESTIMATION EN
DA/ATVA %
Le concurrent retenu:
Concurrent(s) retenu(s) Montant de jugement
Lot
Justification du choix de l’attributaire : conforme
Date d’achévement des travaux de la Commission d’appel d'offres : 24/01/2024
Fait 4 CASABLANCA.
Date et signature : 24/04/2624
Le Président de la b 0
/.
Cadre des résultats définitifs d’appel d’offres
AO N° SR3122298
Objet: Acquisition de cordes isolantes pour le compte des équipes TST relevant des Directions Régionales
Transport
Direction : CTR
Date
Indication Date d'achévement | Concurrent retenu Montant de l’offre
du lot d'ouvertur | des travaux retenue
e des plis de la
Commission
Acquisition de
cordes isolantes
Lotunique | pourle comptedes | 01/11/2023 24/01/2024 1 290 435,27
équipes TST CONSELESS DH/HTVA
relevant des (Maroc)
Directions
Régionales
Transport
Fait 4 Casablanca, fe 24/0 A
[_)
"
AOO ...,Travaux,25/01/2024,SR3121792/2023/ONEEBELEC,Objet : Travaux de construction d’un abri pour contrôle d’engins spéciaux et renforcement d’alimentation électrique au bâtiment TST à Tit Mellil.,Acheteur public : OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,CASABLANCA,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771284&orgAcronyme=d4q,"ROYAUME DU MAROC dy ph IL
Office National de I’Electricité et de I'Eau Potable cp bl celle ell y cbyg SU ob gS 2S
Branche Electricité oly gS ¢ Ud
Extrait du procés-verbal de Ia séance d'appel d'offres
AO N° SR3121792
Objet: Construction d’un abri pour contréle d’engins spéciaux et renforcement d’alimentation électrique au batiment
TST a Tit Mellil.
Direction: CTR
Date d'’ouverture des plis : 11/10/2023
Lieu d’ouverture des plis : Sigge ONEE/BE
Journaux ayant publié i'avis de publicité : « Al Akhbar » et « Le Matin »
Sites électroniques de publication de l'avis : https://www.marchespublics.gov.ma/ site web de I'ONEE al’adresse :
http://www.one.ma
Liste des concurrents ayant déposé un pli :
- _NEOMOB (Maroc)
- _ASMAE ALI NEGOCE (Maroc)
- ACTER PRO (Maroc)
- TAOURIRT ETANCHEITE (Maroc)
Liste des concurrents évincés a I'issue de l’examen des dossiers administratifs et/ou techniques :
- NEOMOB (Maroc)
- ASMAE ALI NEGOCE (Maroc)
- ACTER PRO (Maroc)
Liste des concurrents admissibles sans réserve :
- TAOURIRT ETANCHEITE (Maroc)
Montant des actes d’engagement et des offres :
MONTANT LU A MONTANT TOTAL | MONTANT TOTAL ECARTP/P A
Le concurrent retenu:
Concurrent(s) retenu(s) Montant de jugement
Lot
unique TAOURIRT ETANCHEITE 510 880,00 DH/HTVA
Justification du choix de l’attributaire : conforme
Date d’achévement des travaux de la Commission d’appel d’offres : 24/01/2024
Fait 4 CASABLANCA.
Date et signature : 24/01/2024
Le Président de la C ission d’AO
¢
Cadre des résultats définitifs d’appel d’offres
AO N° SR3121792
Objet: Construction d’un abri pour contrdle d’engins spéciaux et renforcement d’alimentation électrique au
batiment TST a Tit Mellii.
Direction : CTR
Date
Indication Date d'achévement | Concurrent retenu Montant de I'offre
du lot d’ouvertur | des travaux retenue
e des plis de la
Commission
Construction d’un
abri pour contréle
Lot unique | d’engins spéciaux et | 11/10/2023 24/01/2024 TAOURIRT 510 880,00
renforcement ETANCHEITE DH/HTVA
d’alimentation (Maroc)
électrique au
batiment TST a Tit
Mellil.
Fait 4 Casablanca, le 24/01/2024
"
AOS ...,Services,25/01/2024,15/2023/DRHMG/DATNU,"Objet : Prestations d’entretien et de nettoyage des bâtiments administratifs des services du Ministère de l’Aménagement du Territoire, de l’Urbanisme, de l’Habitat et de la Politique de la Ville ...","Acheteur public : MINISTERE DE L'AMENAGEMENT DU TERRITOIRE NATIONAL, DE L'URBANISME, DE L'HABITAT ET DE LA POLITIQUE DE LA VILLE",RABAT,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771283&orgAcronyme=a2a,
AOS ...,Services,25/01/2024,15/2023/DRHMG/DATNU,"Objet : Prestations d’entretien et de nettoyage des bâtiments administratifs des services du Ministère de l’Aménagement du Territoire, de l’Urbanisme, de l’Habitat et de la Politique de la Ville ...","Acheteur public : MINISTERE DE L'AMENAGEMENT DU TERRITOIRE NATIONAL, DE L'URBANISME, DE L'HABITAT ET DE LA POLITIQUE DE LA VILLE",RABAT,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771281&orgAcronyme=a2a,"Royaume du Maroc
Ministére de l’'Aménagement du Territoire National,
de I’Urbanisme, de I|’Habitat et de la Politique de la Ville
Département de |’'Aménagement du Territoire National et de |’Urbanisme
Secrétariat Général
Direction des Ressources Humaines et des Moyens Généraux
RESULTATS DEFINITIFS
de la séance d'appel d'offres ouvert national simplifié « G4 majoration » n° 15/2023
« Maitre d’ouvrage : Ministére de |l’'Aménagement du Territoire National, de |’Urbanisme, de I'Habitat et de
la Politique de la Ville représenté- Direction des Ressources Humaines et des Moyens Généraux.
* Objet: Prestations d’entretien et de nettoyage des bdtiments administratifs des services du Ministére de
l’Aménagement du Territoire, de |’Urbanisme, de |’Habitat et de la Politique de la Ville.
Pei Gs ; whic Montants des
heure d'achevement Concurrent
; actes
d'ouverture des travaux de iy (=V ale) ,
, 7 d’engagement
des plis la commission
Prestations d’entretien et de
nettoyage des bdtiments mardi 9
administratifS des services du ‘anvier 2024 jeudi 25 janvier OPRONET- 971 073,05
Ministére de l’'Aménagement du , 11 heures 2024 SARL ,
Territoire, de |’Urbanisme, de |’Habitat
et de la Politique de la Ville
Fait Gd Rabat, Le : 25 janvier 2024
(Signature et cachet du maitre d'ouvrage)
/ /
|“ 4IND MESTASS!
"
AOS ...,Fournitures,25/01/2024,23/2024,"Objet : Fourniture et mise en service des équipements de cuisine au profit des buvettes de divers Etablissements pénitentiaires, livrable au Magasin Général Arjat 1 en lot unique.",Acheteur public : DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION,"TANGER-ASSILAH
MDIQ-FNIDEQ
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771273&orgAcronyme=h5j,"ROYAUME DU MAROC AO N°23/2024-DGAPR-LOGISTIQUE
LE CHEF DU GOUVERNEMENT
La Délégation Générale
a l’'Administration Pénitentiaire
et ala Réinsertion
Extrait du procés-verbal
D’ Appel d'offres ouvert simplifié sur offres des prix n°23/2024
Objet : la Fourniture et mise en service des équipements de cuisine au profit des buvettes de divers
Etablissements pénitentiaires, livrable au Magasin Général Arjat 1 en lot unique.
Maitre d'ouvrage : Délégation Générale a |'Administration Pénitentiaire et 4 la Réinsertion.
« Date d'ouverture des plis : 24/01/2024 a 10 : 30 heures
« Lieu d'ouverture des plis : Siege de la Délégation Générale 4 I'Administration Pénitentiaire et a la
Réinsertion 4 Avenue AARAR, Rue Al Jawz Hay Riad Rabat
* Journaux ayant publiés l'avis d'Appel d'offres :
N° Publication Date publication
Matin du Sahara 17.901 12-13-14 /01/2024
Sahara Maghribia 13-14 /01/2024
Portail des Marchés Public www.marchespublics.gov.ma 13/01/2024
>» Liste des concurrents ayant déposé leurs plis :
- NEANT
>» Les concurrents écartés a l'issue de l'examen des dossiers administratifs et techniques :
- NEANT
>» Liste des concurrents admis sans réserve :
- NEANT
>» Liste des concurrents admis avec réserve :
- NEANT
e L’appel d’offres est déclaré infructueux.
e Date d'achévement des travaux de la commission : Le 24/01/2024 /
\ Fait a Rabat le 24/01/2024
Sour le Slag cde ain stration
Pénitentiaire et eFe-Reinsersor €f pe
Signé : BELHAJEM Youssef
l
"
AOS ...,Fournitures,25/01/2024,23/2024,"Objet : Fourniture et mise en service des équipements de cuisine au profit des buvettes de divers Etablissements pénitentiaires, livrable au Magasin Général Arjat 1 en lot unique.",Acheteur public : DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION,"TANGER-ASSILAH
MDIQ-FNIDEQ
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771272&orgAcronyme=h5j,"ROYAUME DU MAROC
LE CHEF DU GOUVERNEMENT
Délégation Générale
a l’Administration Pénitentiaire
et ala Réinsertion |
RESULTAT DEFINITIF DE L'APPEL D'OFFRES OUVERT
N° 23/2024
Maitre d'Ouvrage : Délégation Générale a l'Administration Pénitentiaire et a la Réinsertion
Objet : la Fourniture et mise en service des équipements de cuisine au profit des buvettes de divers Etablissements pénitentiaires,
livrable au Magasin Général Arjat 1 en lot unique
; Date d’achévement
Lot PSIG Mouvenuule des travaux de la RESULTAT
des plis shes
commission
24/01/2024 a 10 h 30 mn 24/01/2024 11h30mn | AP PELD'OFFRES INFRUCTUEUX
A RABAT, le wessessssseeseeeeees \ Maitre sowvage/
Pour le Déléqué Ganerafa la ;
Pénitentiaire g ve Rarer MpainishetN
Directed du Budget e®de |'Eg Koto
Signe : BELHAJEM Youssef
"
AOS ...,Services,25/01/2024,67/2023/TGR,"Objet : la maintenance des équipements informatiques (micro-ordinateurs, imprimantes et scanners) installés dans les locaux des services centraux et extérieurs de la Trésorerie Générale du Royaume (pièces de rechanges et main ...",Acheteur public : TRESORERIE GENERALE DU ROYAUME,"TANGER-ASSILAH
MDIQ-FNIDEQ
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771267&orgAcronyme=g8e,"Ministére de I'Economie et des Finances Astlotlg wlepia Yl 4yl5g
a ane te Ce Ue OF | HALO. At RQX
WwW
Trésorerie Générale du Axloot aalell aisj5Il
Royaume e@OOeF 1 Stwbote Fe 1 4 KWAK
DRSI/DBL/SA
EXTRAIT DU PROCES VERBAL D’APPEL D’OFFRES OUVERT SIMPLIFIE SUR OFFRE DE PRIX
N°67/2023/TGR RELATIF A LA MAINTENANCE DES EQUIPEMENTS INFORMATIQUES (MICRO-
ORDINATEURS, IMPRIMANTES ET SCANNERS) INSTALLES DANS LES LOCAUX DES SERVICES
CENTRAUX ET EXTERIEURS DE LA TRESORERIE GENERALE DU ROYAUME (PIECES DE RECHANGES
ET MAIN D’CEUVRE), EN LOT UNIQUE
(SEANCE D’OUVERTURE DES PLIS)
- Maitre d'ouvrage : la Trésorerie Générale du Royaume.
- date d'ouverture des plis : Le 4 janvier 2024 a 10 heures.
- lieu d'ouverture des plis: la Trésorerie Générale du Royaume.
- Journaux ayant publié Il'avis de publicité :
- « AL BAYANE » du 14/12/2023.
- Site électronique de publication de I'avis :http://www.marchespublics.gov.ma/pmmp/ du 14/12/2023.
- Liste des concurrents ayant déposé un pli :
Y Lasociété WARNA
Y Lasociété SELLSYSOFT
¥Y Lasociété MEDWAVE
¥Y Lasociété DATA PROCESS
¥Y Lasociété REVAMIN
A- liste des concurrents admissibles sans réserves :
Y Lasociété WARNA
Y Lasociété SELLSYSOFT
¥Y Lasociété MEDWAVE
¥Y Lasociété DATA PROCESS
¥Y Lasociété REVAMIN
B - liste des concurrents admissibles avec réserves: Néant
C- liste des concurrents évincés a I'issue de I'examen des dossiers administratifs et
techniques : néant.
D- montant des actes d'engagement des concurrents:
Concurrents Montant des actes
d'engagement en DH TTC
- STE WARNA 177 215,95
- STE SELLSYSOFT 162 000,00
- STE MEDWAVE 171 000,00
- STE DATA PROCESS 164 412,00
- STE REVAMIN 170 000,40
1
F-classement des concurrents :
Concurrents Montant des actes
d'engagement en DH TTC
- STE MEDWAVE 171 000,00 (1° )
- STE REVAMIN 170 000,40 (2°""° )
- STE DATA PROCESS 164 412,00 (3°""° )
- STE SELLSYSOFT 162 000,00 (4°° )
- STEWARNA 177 215,95 (5° )
G- concurrent retenu : STE MEDWAVE pour un montant de : 171 000,00 DH TTC (Cent soixante
et onze mille dirhams Toutes taxes comprises).
-justification du choix de I'attributaire : Economiquement l’offre la plus avantageuse.
Date d’achéevement des travaux de la commission : 24 janvier 2024 a 12 Heures 30.
Fait a Rabat le : 24 janvier 2024
SIGME | ooo. ceeceeeeeteeteeeeees
2
"
AOO ...,Fournitures,25/01/2024,55/2023/DR4,Objet : Fourniture des produits chimiques aux laboratoires de la direction régionale de l’Ouest,Acheteur public : OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,KENITRA,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771264&orgAcronyme=d4q,
AOO ...,Services,25/01/2024,003/24/AOO/ONDA,Objet : Maintenance et étalonnage des bascules électroniques aux aéroports Casablanca-Mohammed V et Benslimane.,Acheteur public : OFFICE NATIONAL DES AEREPORTS,"NOUACEUR
BENSLIMANE
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771262&orgAcronyme=o8p,"a= Abita pity! isl
— ‘Office National Des Aéroports
EXTRAIT DU PROCES VERBAL D’APPEL D'OFFRES ouvert AU RABAIS OU A
MAJORATION N° 003-24-AOO0
Objet: Maintenance et étalonnage des bascules électroniques aux aéroports
Casablanca-Mohammed V et Benslimane
Maitre d'ouvrage : OFFICE NATIONAL DES AEROPORTS
e Date d’ouverture des plis : 25/01/2024
e Lieu d'ouverture des plis : La salle de réunion de la Direction des Achats ef de la
Logistique.
e Journaux ayant publié l’avis de publicité : ALAKHBAR et AUJOURD'HY! LE MAROC
du jeudi 21 décembre 2023
e Sites électroniques de publication de lavis: hittp:// WWW.MARCHES
PUBLICS.GOV.MA en date du jeudi 21 décembre 2023 et www.onda.ma.
-Liste des concurrents ayant déposé un pii:
Liste des concurrents
1- MEASUREMENT CONTROL CENTER (El 1 |
Liste des concurrents évincés a Il'issue de l'examen des dossiers administratifs,
techniques et additifs :
1- MEASUREMENT CONTROL CENTER
- Liste des Concurrents écartés :
NEANT
- Concurrent retenu :
‘Concurentretenu
NEANT
> Lacommission décide de déclarer l’appel d’offres infructueux pour absence
d'offre admissible. |
>» Date d’achévement des travaux de la commission : le 25/01/2024
Fait 4 Nouaceur, le 25/01/2024
M. Abdelhalim EL KARIMI
Président de la Commission
d'appel d’offres
ELLA ™M |
S&~ ———_
Page 1 |
"
AOO ...,Travaux,25/01/2024,103/DR5/2023,Objet : Renforcement et sécurisation de l’AEP de la ville de My Driss Zerhoune et des centres rattachés - Lot : Equipement -.,Acheteur public : OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,MEKNES,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771260&orgAcronyme=d4q,"——————— —
eS oC a GEN A pees yan ea EXTRAIT DU PROCES VERBAL DES
— SEANCES D'EXAMEN DES OFFRES
Direction Régionale du Centre Nord
DR5/C - DIVISION ACHATS DR5
Appel d'offres Ouvert N° : 103/DR5/2023 relatif a:
Objet : Renforcement et sécurisation de 1’AEP de la ville de My Driss Zerhoune
et des centres rattachés - Lot : Equipement -.
_ Date et heure d'ouverture des plis : 05/10/2023 09:00
(Ouverture en un seul temps)
- Lieu d'ouverture des plis : au Siége de la Direction Régionale du Centre
Nord (DR5) - 88 rue du Soudan, Ville nouvelle - Fés - Maroc
- Journaux ayant publié l'avis initial de publicité :
mer ie Decca TION
Le Matin (Frangais) | 05/09/0223
Aujourd'Hui Le Maroc (Frangais) 05/09/2023
'“Assahra Al Maghribia (Arabe) | 05/09/2023 |
- Date de publication dans le portail des marches publics : 05/09/2023
- Liste des concurrents ayant déposé un pli :
| NOVELLI PUMPS MAROC
SEIPIA (Ex TOURNAGE SOUSS) | MAROC .
STE LAMO MAROC |
_ Liste des concurrents écartés : Néant
- Liste des concurrents dont les offres financiéres ont été ouvertes :
Ei ee Se a  . hontan avar | MONTANT T APRES —
CONCURRENT : .
_ a a i Oe VERIFICATION _
NOVELLI PUMPS - Offre de base (6.619.645,68 MAD 6.619.645,68 MAD
SE Ee ee et ee Ue
STE LAMO - Offre de base 7.217.844,00 MAD 7.217.844,00 MAD
SEIPIA (Ex TOURNAGE SOUSS) -Offre de base 7-9902.7714,20 MAD|7.720.771,20 MAD
ES
- Concurrent attributaire :
| Concurrent attributaire Montant TTC i DéLai d'exécution |
rr Ai SRR eee given ee es 2 SRR |
| NOVELLI PUMPS - Offre de base = 6..619.645,68 MAD — 300 jour(s)
_ Critére du choix de l'offre la plus avantageuse : Moins-disant
_ Date a'achévement des travaux de la commission : 25/01/2024
Pour le président de la CORAL
iS
"
AOO ...,Fournitures,25/01/2024,78/2022,Objet : la fourniture d’effets d’habillement destinés au personnel de l’Administration des Douanes et Impôts Indirects (2 lots): LOT 1 : TENUE D’ETE LOT 2 : CHEMISE D’HIVER,Acheteur public : DIRECTEUR DES DOUANES ET IMPOTS INDIRECTS RABAT,"TANGER-ASSILAH
MDIQ-FNIDEQ
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771257&orgAcronyme=g8e,
